#
# UCSC dataset.
#
NONE;Pongo pygmaeus;Pongo_pygmaeus_HOMINIDAE_PRIMATES;NONE;NONE;NONE;Pongo_pygmaeus;
NONE;Hylobates pileatus;Hylobates_pileatus_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Hylobates_pileatus_b;
NONE;Hylobates pileatus;Hylobates_pileatus_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Hylobates_pileatus_a;
NONE;Hylobates abbotti;NONE;NONE;NONE;NONE;Hylobates_abbotti;
NONE;Hylobates muelleri;Hylobates_muelleri_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Hylobates_muelleri;
NONE;Hylobates agilis;Hylobates_agilis_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Hylobates_agilis;
NONE;Hylobates klossii;Hylobates_klossii_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Hylobates_klossii;
NONE;Hoolock leuconedys;Hoolock_leuconedys_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Hoolock_leuconedys;
NONE;Nomascus siki;Nomascus_siki_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Nomascus_siki_b;
NONE;Nomascus siki;Nomascus_siki_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Nomascus_siki_a;
NONE;Nomascus gabriellae;Nomascus_gabriellae_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Nomascus_gabriellae;
NONE;Nomascus annamensis;NONE;NONE;NONE;NONE;Nomascus_annamensis;
NONE;Nomascus concolor;Nomascus_concolor_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Nomascus_concolor;
NONE;Symphalangus syndactylus;Symphalangus_syndactylus_HYLOBATIDAE_PRIMATES;NONE;NONE;NONE;Symphalangus_syndactylus;
